date,school_closing,workplace_closing,contact_tracing,facial_coverings,stringency_index,SDI,daily_confirm_cases
2020-11-19,2.0,2.0,2.0,3.0,73.15,43.0,90
2020-11-20,2.0,2.0,2.0,3.0,73.15,34.0,79
2020-11-21,2.0,2.0,2.0,3.0,73.15,41.0,48
2020-11-22,2.0,2.0,2.0,3.0,73.15,47.0,46
2020-11-23,2.0,2.0,2.0,3.0,73.15,36.0,66
2020-11-24,2.0,2.0,2.0,3.0,73.15,33.0,32
2020-11-25,2.0,2.0,2.0,3.0,73.15,34.0,62
2020-11-26,2.0,2.0,2.0,3.0,73.15,54.0,116
2020-11-27,2.0,2.0,2.0,3.0,73.15,40.0,74
2020-11-28,2.0,2.0,2.0,3.0,73.15,33.0,82
2020-11-29,2.0,2.0,2.0,3.0,64.81,43.0,87
2020-11-30,2.0,2.0,2.0,3.0,73.15,35.0,58
2020-12-01,2.0,2.0,2.0,3.0,73.15,34.0,39
2020-12-02,2.0,2.0,2.0,3.0,73.15,32.0,45
2020-12-03,2.0,2.0,2.0,3.0,73.15,32.0,79
2020-12-04,2.0,2.0,2.0,3.0,78.7,34.0,69
2020-12-05,2.0,2.0,2.0,3.0,78.7,34.0,152
2020-12-06,2.0,2.0,2.0,3.0,78.7,41.0,55
2020-12-07,2.0,2.0,2.0,3.0,78.7,36.0,157
2020-12-08,2.0,2.0,2.0,3.0,78.7,39.0,35
2020-12-09,2.0,2.0,2.0,3.0,78.7,31.0,85
2020-12-10,2.0,2.0,2.0,3.0,78.7,30.0,113
2020-12-11,2.0,2.0,2.0,3.0,78.7,33.0,104
2020-12-12,2.0,2.0,2.0,3.0,78.7,34.0,116
2020-12-13,2.0,2.0,2.0,3.0,78.7,40.0,178
2020-12-14,2.0,2.0,2.0,3.0,78.7,36.0,104
2020-12-15,2.0,2.0,2.0,3.0,78.7,39.0,51
2020-12-16,2.0,2.0,2.0,3.0,78.7,30.0,68
2020-12-17,2.0,2.0,2.0,3.0,78.7,31.0,79
2020-12-18,2.0,2.0,2.0,3.0,78.7,33.0,96
2020-12-19,2.0,2.0,2.0,3.0,78.7,32.0,83
2020-12-20,2.0,2.0,2.0,3.0,78.7,41.0,72
2020-12-21,2.0,2.0,2.0,3.0,78.7,30.0,29
2020-12-22,2.0,2.0,2.0,3.0,78.7,30.0,55
2020-12-23,2.0,2.0,2.0,3.0,78.7,27.0,84
2020-12-24,2.0,2.0,2.0,3.0,78.7,32.0,135
2020-12-25,2.0,2.0,2.0,3.0,78.7,56.0,201
2020-12-26,2.0,2.0,2.0,3.0,78.7,42.0,92
2020-12-27,2.0,2.0,2.0,3.0,78.7,40.0,88
2020-12-28,2.0,2.0,2.0,3.0,78.7,31.0,62
2020-12-29,2.0,2.0,2.0,3.0,78.7,34.0,74
2020-12-30,2.0,2.0,2.0,3.0,78.7,28.0,85
2020-12-31,2.0,2.0,2.0,3.0,78.7,35.0,212
2021-01-01,2.0,2.0,2.0,3.0,78.7,49.0,212
2021-01-02,2.0,2.0,2.0,3.0,78.7,34.0,158
2021-01-03,2.0,2.0,2.0,3.0,78.7,42.0,127
2021-01-04,2.0,2.0,2.0,3.0,78.7,43.0,108
2021-01-05,2.0,2.0,2.0,3.0,78.7,41.0,83
2021-01-06,2.0,2.0,2.0,3.0,78.7,36.0,73
2021-01-07,2.0,2.0,2.0,3.0,78.7,42.0,118
2021-01-08,2.0,2.0,2.0,3.0,78.7,35.0,128
2021-01-09,2.0,2.0,2.0,3.0,78.7,42.0,114
2021-01-10,2.0,2.0,2.0,3.0,78.7,43.0,86
2021-01-11,2.0,2.0,2.0,3.0,78.7,42.0,83
2021-01-12,2.0,2.0,2.0,3.0,78.7,44.0,44
2021-01-13,2.0,2.0,2.0,3.0,78.7,39.0,49
2021-01-14,2.0,2.0,2.0,3.0,78.7,36.0,66
2021-01-15,2.0,2.0,2.0,3.0,78.7,32.0,104
2021-01-16,2.0,2.0,2.0,3.0,78.7,39.0,104
2021-01-17,2.0,2.0,2.0,3.0,78.7,46.0,102
2021-01-18,2.0,2.0,2.0,3.0,78.7,43.0,88
2021-01-19,2.0,2.0,2.0,3.0,78.7,43.0,54
2021-01-20,2.0,2.0,2.0,3.0,78.7,40.0,64
2021-01-21,2.0,2.0,2.0,3.0,78.7,35.0,65
2021-01-22,2.0,2.0,2.0,3.0,78.7,31.0,79
2021-01-23,2.0,2.0,2.0,3.0,78.7,40.0,82
2021-01-24,2.0,2.0,2.0,3.0,78.7,45.0,59
2021-01-25,2.0,2.0,2.0,3.0,78.7,39.0,57
2021-01-26,2.0,2.0,2.0,3.0,78.7,36.0,41
2021-01-27,2.0,2.0,2.0,3.0,78.7,39.0,41
2021-01-28,2.0,2.0,2.0,3.0,78.7,40.0,79
2021-01-29,2.0,2.0,2.0,3.0,78.7,34.0,74
2021-01-30,2.0,2.0,2.0,3.0,78.7,40.0,85
2021-01-31,2.0,2.0,2.0,3.0,78.7,48.0,52
2021-02-01,2.0,2.0,2.0,3.0,78.7,46.0,20
2021-02-02,2.0,2.0,1.0,3.0,76.85,38.0,22
2021-02-03,2.0,2.0,1.0,3.0,76.85,40.0,40
2021-02-04,2.0,2.0,1.0,3.0,76.85,32.0,61
2021-02-05,2.0,2.0,1.0,3.0,76.85,27.0,42
2021-02-06,2.0,2.0,1.0,3.0,76.85,35.0,46
2021-02-07,2.0,2.0,1.0,3.0,76.85,51.0,36
2021-02-08,2.0,2.0,1.0,3.0,76.85,38.0,23
2021-02-09,2.0,2.0,1.0,3.0,76.85,29.0,13
2021-02-10,2.0,2.0,1.0,3.0,76.85,28.0,17
2021-02-11,2.0,2.0,1.0,3.0,76.85,30.0,45
2021-02-12,2.0,2.0,1.0,3.0,76.85,28.0,36
2021-02-13,2.0,2.0,1.0,3.0,76.85,39.0,35
2021-02-14,2.0,2.0,1.0,3.0,76.85,43.0,32
2021-02-15,2.0,2.0,1.0,3.0,76.85,32.0,19
2021-02-16,2.0,2.0,1.0,3.0,76.85,29.0,27
2021-02-17,2.0,2.0,1.0,3.0,76.85,32.0,16
2021-02-18,2.0,2.0,1.0,3.0,76.85,28.0,24
2021-02-19,2.0,2.0,1.0,3.0,76.85,26.0,45
2021-02-20,2.0,2.0,1.0,3.0,76.85,29.0,21
2021-02-21,2.0,2.0,1.0,3.0,76.85,35.0,36
2021-02-22,2.0,2.0,1.0,3.0,76.85,28.0,17
2021-02-23,2.0,2.0,1.0,3.0,76.85,30.0,18
2021-02-24,2.0,2.0,1.0,3.0,76.85,32.0,7
2021-02-25,2.0,2.0,1.0,3.0,76.85,31.0,35
2021-02-26,2.0,2.0,1.0,3.0,76.85,27.0,51
2021-02-27,2.0,2.0,1.0,3.0,76.85,40.0,31
2021-02-28,2.0,2.0,1.0,3.0,76.85,45.0,25
2021-03-01,2.0,2.0,1.0,3.0,76.85,30.0,20
2021-03-02,2.0,2.0,1.0,3.0,76.85,33.0,16
2021-03-03,2.0,2.0,1.0,3.0,76.85,35.0,27
2021-03-04,2.0,2.0,1.0,3.0,76.85,30.0,28
2021-03-05,2.0,2.0,1.0,3.0,76.85,32.0,95
2021-03-06,2.0,2.0,1.0,3.0,76.85,37.0,33
2021-03-07,2.0,2.0,1.0,3.0,76.85,42.0,28
2021-03-08,2.0,2.0,1.0,3.0,76.85,31.0,22
2021-03-09,2.0,2.0,1.0,3.0,76.85,29.0,29
2021-03-10,2.0,2.0,2.0,3.0,76.85,31.0,38
2021-03-11,2.0,2.0,2.0,3.0,76.85,24.0,39
2021-03-12,2.0,2.0,2.0,3.0,76.85,24.0,87
2021-03-13,2.0,2.0,2.0,3.0,76.85,29.0,54
2021-03-14,2.0,2.0,2.0,3.0,76.85,30.0,41
2021-03-15,2.0,2.0,2.0,3.0,76.85,23.0,47
2021-03-16,2.0,2.0,2.0,3.0,71.3,26.0,28
2021-03-17,2.0,2.0,2.0,3.0,71.3,21.0,24
2021-03-18,2.0,2.0,2.0,3.0,71.3,23.0,83
2021-03-19,2.0,2.0,2.0,3.0,71.3,22.0,98
2021-03-20,2.0,2.0,2.0,3.0,71.3,24.0,59
2021-03-21,2.0,2.0,2.0,3.0,71.3,32.0,61
2021-03-22,2.0,2.0,2.0,3.0,71.3,23.0,52
2021-03-23,2.0,2.0,2.0,3.0,71.3,25.0,45
2021-03-24,2.0,2.0,2.0,3.0,71.3,30.0,42
2021-03-25,2.0,2.0,2.0,3.0,71.3,24.0,71
2021-03-26,2.0,2.0,2.0,3.0,71.3,23.0,133
2021-03-27,2.0,2.0,2.0,3.0,71.3,28.0,72
2021-03-28,2.0,2.0,2.0,3.0,71.3,30.0,51
2021-03-29,2.0,2.0,2.0,3.0,71.3,25.0,52
2021-03-30,2.0,2.0,2.0,3.0,71.3,23.0,29
2021-03-31,2.0,2.0,2.0,3.0,71.3,23.0,51
2021-04-01,2.0,2.0,2.0,3.0,71.3,23.0,69
2021-04-02,2.0,2.0,2.0,3.0,71.3,24.0,106
2021-04-03,2.0,2.0,2.0,3.0,71.3,27.0,74
2021-04-04,2.0,2.0,2.0,3.0,71.3,34.0,72
2021-04-05,2.0,2.0,2.0,3.0,69.44,23.0,48
2021-04-06,2.0,2.0,2.0,3.0,69.44,23.0,39
2021-04-07,2.0,2.0,2.0,3.0,69.44,27.0,35
2021-04-08,2.0,2.0,2.0,3.0,69.44,24.0,57
2021-04-09,2.0,2.0,2.0,3.0,69.44,22.0,115
2021-04-10,2.0,2.0,2.0,3.0,69.44,28.0,48
2021-04-11,2.0,2.0,2.0,3.0,69.44,32.0,93
2021-04-12,2.0,2.0,2.0,3.0,69.44,24.0,52
2021-04-13,2.0,2.0,2.0,3.0,69.44,26.0,24
2021-04-14,2.0,2.0,2.0,3.0,69.44,21.0,43
2021-04-15,2.0,2.0,2.0,3.0,69.44,24.0,72
2021-04-16,2.0,2.0,2.0,3.0,69.44,23.0,112
2021-04-17,2.0,2.0,2.0,3.0,69.44,26.0,40
2021-04-18,2.0,2.0,2.0,3.0,69.44,31.0,98
2021-04-19,2.0,2.0,2.0,3.0,69.44,20.0,42
2021-04-20,2.0,2.0,2.0,3.0,69.44,24.0,37
