date,school_closing,workplace_closing,contact_tracing,facial_coverings,stringency_index,SDI,daily_confirm_cases,tourist
2021-03-02,2.0,2.0,1.0,3.0,76.85,33.0,18,8440
2021-03-03,2.0,2.0,1.0,3.0,76.85,35.0,7,11136
2021-03-04,2.0,2.0,1.0,3.0,76.85,30.0,35,14567
2021-03-05,2.0,2.0,1.0,3.0,76.85,32.0,51,13127
2021-03-06,2.0,2.0,1.0,3.0,76.85,37.0,31,15013
2021-03-07,2.0,2.0,1.0,3.0,76.85,42.0,25,12104
2021-03-08,2.0,2.0,1.0,3.0,76.85,31.0,20,11330
2021-03-09,2.0,2.0,1.0,3.0,76.85,29.0,16,9296
2021-03-10,2.0,2.0,2.0,3.0,76.85,31.0,27,13250
2021-03-11,2.0,2.0,2.0,3.0,76.85,24.0,28,16287
2021-03-12,2.0,2.0,2.0,3.0,76.85,24.0,95,17518
2021-03-13,2.0,2.0,2.0,3.0,76.85,29.0,33,19158
2021-03-14,2.0,2.0,2.0,3.0,76.85,30.0,28,14906
2021-03-15,2.0,2.0,2.0,3.0,76.85,23.0,22,14246
2021-03-16,2.0,2.0,2.0,3.0,71.3,26.0,29,12777
2021-03-17,2.0,2.0,2.0,3.0,71.3,21.0,38,15344
2021-03-18,2.0,2.0,2.0,3.0,71.3,23.0,39,18400
2021-03-19,2.0,2.0,2.0,3.0,71.3,22.0,87,19249
2021-03-20,2.0,2.0,2.0,3.0,71.3,24.0,54,22210
2021-03-21,2.0,2.0,2.0,3.0,71.3,32.0,41,18894
2021-03-22,2.0,2.0,2.0,3.0,71.3,23.0,47,16959
2021-03-23,2.0,2.0,2.0,3.0,71.3,25.0,28,15165
2021-03-24,2.0,2.0,2.0,3.0,71.3,30.0,24,17454
2021-03-25,2.0,2.0,2.0,3.0,71.3,24.0,83,19288
2021-03-26,2.0,2.0,2.0,3.0,71.3,23.0,98,19892
2021-03-27,2.0,2.0,2.0,3.0,71.3,28.0,59,22357
2021-03-28,2.0,2.0,2.0,3.0,71.3,30.0,61,19879
2021-03-29,2.0,2.0,2.0,3.0,71.3,25.0,52,18024
2021-03-30,2.0,2.0,2.0,3.0,71.3,23.0,45,16760
2021-03-31,2.0,2.0,2.0,3.0,71.3,23.0,42,17886
2021-04-01,2.0,2.0,2.0,3.0,71.3,23.0,71,20810
2021-04-02,2.0,2.0,2.0,3.0,71.3,24.0,133,21615
2021-04-03,2.0,2.0,2.0,3.0,71.3,27.0,72,22913
2021-04-04,2.0,2.0,2.0,3.0,71.3,34.0,51,20536
2021-04-05,2.0,2.0,2.0,3.0,69.44,23.0,52,20906
2021-04-06,2.0,2.0,2.0,3.0,69.44,23.0,29,17810
2021-04-07,2.0,2.0,2.0,3.0,69.44,27.0,51,17307
2021-04-08,2.0,2.0,2.0,3.0,69.44,24.0,69,19523
2021-04-09,2.0,2.0,2.0,3.0,69.44,22.0,106,19476
2021-04-10,2.0,2.0,2.0,3.0,69.44,28.0,74,20883
2021-04-11,2.0,2.0,2.0,3.0,69.44,32.0,72,17016
2021-04-12,2.0,2.0,2.0,3.0,69.44,24.0,48,17428
2021-04-13,2.0,2.0,2.0,3.0,69.44,26.0,39,13045
2021-04-14,2.0,2.0,2.0,3.0,69.44,21.0,35,15783
2021-04-15,2.0,2.0,2.0,3.0,69.44,24.0,57,19890
2021-04-16,2.0,2.0,2.0,3.0,69.44,23.0,115,18418
2021-04-17,2.0,2.0,2.0,3.0,69.44,26.0,48,20608
2021-04-18,2.0,2.0,2.0,3.0,69.44,31.0,93,15548
2021-04-19,2.0,2.0,2.0,3.0,69.44,20.0,52,15496
2021-04-20,2.0,2.0,2.0,3.0,69.44,24.0,24,13717
